# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9800 GTX/9800 GTX+
method,gputime,cputime,occupancy
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15870.9,6.635,0.167
memcopy,135.168,625.848,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50493,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15871.9,6.705,0.167
memcopy,134.848,682.349,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50582.1,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15826.8,7.194,0.167
memcopy,135.264,625.359,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50639,6.495,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.6,7.124,0.167
memcopy,134.816,673.829,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50406.6,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15851.8,6.286,0.167
memcopy,134.816,676.692,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50193.6,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15865.5,6.495,0.167
memcopy,134.816,650.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50570.1,9.638,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15811.8,6.495,0.167
memcopy,134.848,663.841,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50398.9,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15863.5,7.543,0.167
memcopy,134.944,675.295,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50185.9,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15879.4,6.425,0.167
memcopy,140.512,878.883,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50204.2,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15809.5,6.495,0.167
memcopy,135.2,671.245,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50559,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15779.4,6.844,0.167
memcopy,134.944,615.511,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50169.7,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15785.4,7.194,0.167
memcopy,134.784,650.711,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50201.5,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15772.5,7.194,0.167
memcopy,135.072,639.606,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50458.7,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15889.1,6.775,0.167
memcopy,136.16,647.778,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50216.7,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15769.6,6.775,0.167
memcopy,135.136,625.219,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50166.5,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15815.5,6.495,0.167
memcopy,135.424,633.53,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50172.6,9.289,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15786,6.775,0.167
memcopy,134.88,883.911,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50460.2,8.8,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15874.5,7.263,0.167
memcopy,134.784,632.692,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50518,7.822,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15797.8,6.984,0.167
memcopy,134.976,650.641,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50574.3,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15812.6,7.543,0.167
memcopy,134.848,1056.84,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50400,8.94,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15811.6,6.495,0.167
memcopy,136.352,631.225,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50454.2,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15917.2,7.333,0.167
memcopy,135.04,651.898,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50519.1,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15808.7,121.524,0.167
memcopy,134.88,649.314,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50578.2,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15889.7,6.356,0.167
memcopy,135.2,621.867,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50401.1,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15831.8,6.495,0.167
memcopy,134.816,723.625,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50473.4,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15922.3,6.495,0.167
memcopy,143.904,776.286,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50569.2,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15810.9,7.263,0.167
memcopy,135.072,631.435,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50609.6,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15842,6.844,0.167
memcopy,135.168,622.216,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50418.2,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15845.7,7.124,0.167
memcopy,135.072,660.489,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50471.7,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15892.1,6.844,0.167
memcopy,139.424,776.845,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50560.9,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15868.8,7.822,0.167
memcopy,135.008,651.898,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50606.5,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15883.9,6.705,0.167
memcopy,134.816,649.245,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50433.9,7.683,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15853.2,5.867,0.167
memcopy,139.232,680.743,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50499.9,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15789.9,5.937,0.167
memcopy,135.968,653.435,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50553.2,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15777.4,6.775,0.167
memcopy,134.944,660.419,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50621.8,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15777.2,6.216,0.167
memcopy,134.944,748.768,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50423,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15879.4,6.495,0.167
memcopy,135.008,628.432,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50517.5,8.381,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15869.2,7.333,0.167
memcopy,134.912,650.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50591.3,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15803.8,6.565,0.167
memcopy,135.36,672.502,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50412.2,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15842.2,6.775,0.167
memcopy,135.2,658.673,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50465.8,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15909.2,6.565,0.167
memcopy,134.816,665.308,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50550.9,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15795.2,6.984,0.167
memcopy,135.072,625.219,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50606.7,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15794,6.984,0.167
memcopy,136.96,687.448,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50406.8,8.59,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15880,6.635,0.167
memcopy,135.36,631.505,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50488.6,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15926.2,7.054,0.167
memcopy,135.168,655.46,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50575.8,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15847.6,7.054,0.167
memcopy,134.848,624.172,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50598,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15784.5,6.635,0.167
memcopy,134.816,621.797,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50417.5,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.1,6.775,0.167
memcopy,134.88,685.981,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50482.4,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15873.2,7.403,0.167
memcopy,134.88,623.543,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50542,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15890.1,7.124,0.167
memcopy,134.976,701.695,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50376.5,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15848.4,6.216,0.167
memcopy,134.976,647.848,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50186,8.102,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15819.4,6.705,0.167
memcopy,134.976,652.667,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50180.6,6.356,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15796.7,6.216,0.167
memcopy,134.848,707.213,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50540.6,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15772.8,7.194,0.167
memcopy,134.912,615.93,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50351.4,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807.6,6.914,0.167
memcopy,135.008,663.283,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50182.5,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15843.9,6.356,0.167
memcopy,134.752,660.978,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50185,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15884.5,7.124,0.167
memcopy,135.968,618.305,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50532.7,10.267,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15816.9,6.984,0.167
memcopy,135.232,657.765,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50321.2,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15824.4,7.194,0.167
memcopy,143.584,668.73,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50402.1,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15816.4,7.403,0.167
memcopy,134.816,669.848,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50186.5,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15934.7,6.565,0.167
memcopy,134.944,647.918,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50183.2,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15817.1,6.844,0.167
memcopy,140.32,635.975,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50568.9,7.822,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15866.9,6.705,0.167
memcopy,134.848,616.489,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50164.1,6.495,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15829.5,6.565,0.167
memcopy,137.92,665.448,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50430,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15823,6.635,0.167
memcopy,134.816,659.441,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50189.4,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15895.2,7.333,0.167
memcopy,134.88,647.429,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50177.3,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15821.7,7.124,0.167
memcopy,134.912,648.406,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50583.9,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15854.7,6.984,0.167
memcopy,134.816,648.825,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50420.6,8.381,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15759,7.403,0.167
memcopy,135.2,616.419,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50493.5,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15807.9,6.635,0.167
memcopy,134.72,675.295,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50568,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15732,7.124,0.167
memcopy,134.912,727.676,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50623.1,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15862.7,7.124,0.167
memcopy,138.976,2498.71,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50407.5,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15821.4,6.495,0.167
memcopy,134.912,663.213,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50489.2,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15866.7,7.822,0.167
memcopy,134.816,861.702,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50567.1,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15804,21.441,0.167
memcopy,135.008,627.943,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50382.3,8.102,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15761.3,6.425,0.167
memcopy,135.296,628.152,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50431.2,7.683,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15863.6,7.263,0.167
memcopy,134.752,651.689,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50580.1,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15754.5,7.543,0.167
memcopy,134.816,647.359,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50391.9,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15835.2,6.565,0.167
memcopy,134.816,623.194,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50421.2,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15859.4,6.705,0.167
memcopy,134.912,655.949,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50523,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15750.3,7.403,0.167
memcopy,134.784,626.057,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50579.3,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15827.8,6.984,0.167
memcopy,134.976,623.962,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50386.6,7.752,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15848.3,6.705,0.167
memcopy,135.008,680.673,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50468.6,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15922.5,7.333,0.167
memcopy,135.68,669.848,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50535.6,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15975.6,6.914,0.167
memcopy,134.848,628.711,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50585.3,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15727.6,7.124,0.167
memcopy,136.48,2959.73,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50431.2,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15830.8,6.635,0.167
memcopy,135.616,638.978,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50499.1,9.498,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15775,6.705,0.167
memcopy,135.104,694.362,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50575.4,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15852.8,6.495,0.167
memcopy,135.232,795.981,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50418.6,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15820,6.844,0.167
memcopy,134.944,657.206,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50461.4,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15902,6.425,0.167
memcopy,136.256,690.172,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50548.5,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15727.3,7.263,0.167
memcopy,134.848,624.8,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50609.7,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15822.8,6.705,0.167
memcopy,135.296,694.921,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50409.4,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15777.7,7.403,0.167
memcopy,135.264,857.372,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50496.9,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15861.3,9.638,0.167
memcopy,135.008,648.895,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50577.6,180.47,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15796.6,7.333,0.167
memcopy,135.616,5012.51,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50428.4,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15837.8,6.984,0.167
memcopy,142.08,670.616,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50495.1,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15761,9.848,0.167
memcopy,135.648,648.895,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50586.9,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15722.8,6.705,0.167
memcopy,135.008,623.962,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50423.3,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15898.5,7.124,0.167
memcopy,134.784,661.048,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50476.6,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15783.8,6.356,0.167
memcopy,144.096,733.543,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50569.7,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15822.7,6.705,0.167
memcopy,135.072,665.448,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50404.2,9.149,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15905.8,6.844,0.167
memcopy,135.104,710.146,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50475.9,8.241,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15723.8,6.565,0.167
memcopy,141.024,680.743,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50577.2,7.403,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15820.2,7.333,0.167
memcopy,140.864,757.918,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50440.7,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15788.8,6.705,0.167
memcopy,134.72,717.41,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50471.8,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15811.1,6.495,0.167
memcopy,135.904,625.079,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50568.5,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15817.3,7.124,0.167
memcopy,135.008,676.343,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50408.4,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15874.5,6.425,0.167
memcopy,134.944,652.248,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50490.4,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15841,6.425,0.167
memcopy,135.712,653.854,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50258.4,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15781.7,6.984,0.167
memcopy,135.968,637.791,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50634.3,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15804.3,7.263,0.167
memcopy,137.856,1651.75,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50411,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15849.6,6.565,0.167
memcopy,134.912,647.289,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50509.8,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15903.4,7.124,0.167
memcopy,135.584,759.943,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50557.7,6.356,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15862.8,6.076,0.167
memcopy,134.976,682.768,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50601.2,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15830.7,7.403,0.167
memcopy,134.464,1922.52,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50418.4,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15839.8,7.194,0.167
memcopy,135.104,669.918,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50480.6,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15906.2,6.984,0.167
memcopy,141.12,730.33,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50550.1,17.53,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15849.9,6.775,0.167
memcopy,140.672,862.889,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50346.5,6.565,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15773.1,7.333,0.167
memcopy,139.008,659.092,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50422.2,7.194,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15890.4,6.565,0.167
memcopy,135.2,719.156,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50501.2,7.124,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15821.9,7.683,0.167
memcopy,135.776,654.203,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50576.1,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15743.2,7.263,0.167
memcopy,136.672,923.86,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50401.9,6.635,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15904.5,6.775,0.167
memcopy,135.168,648.546,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50470.3,8.381,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15862.5,6.914,0.167
memcopy,135.424,625.01,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50525.8,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15819.2,6.705,0.167
memcopy,146.88,816.864,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50623.4,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15911.2,7.683,0.167
memcopy,134.912,632.343,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50176.7,7.333,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15781.1,7.613,0.167
memcopy,134.88,658.464,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50519.1,8.521,0.333
